la_code,la_name_x,months_with_data,avg_monthly_crimes,total_crimes_12m,avg_violent_share,avg_property_share,crime_variability,avg_tavg,avg_min_tmin,avg_max_tmax,avg_monthly_prcp,total_prcp_12m,cold_month_count,prcp_variability,crime_trend_slope,crime_intensity_label,crime_pattern_label,crime_trend_label,weather_exposure_label,overall_profile,la_name_y,imd_crime_score,imd_source,imd_rank,intensity_rank,rank_diff,agreement
E06000016,Leicester,12,4174.166666666667,50090,0.4870226619500326,0.2589649853417581,209.03841897139532,11.01989525398591,2.1666666666666665,20.416666666666668,71.21666666666667,854.6,0,27.412831545342655,19.61538461538468,Elevated Crime Level,Violence-Dominant,Deteriorating,Mild Conditions,Emerging Risk Area,Leicester,0.45,IoD2019,1,5,4,Moderate
E06000019,"Herefordshire, County of",12,1018.0,12216,0.48019326670997703,0.22923085890060194,71.5884703769335,10.473570943023113,-0.1583333333333334,19.966666666666665,81.60833333333333,979.3,1,33.38049126315694,-7.7062937062937,Very Low Recorded Crime,Violence-Dominant,Improving,Mild Conditions,Stable Low-Risk Area,"Herefordshire, County of",0.04,IoD2019,15,15,0,Strong
E06000023,"Bristol, City of",12,5691.5,68298,0.4780271566566365,0.2942815790228229,510.5938610178258,11.236696020269434,3.525,19.041666666666668,96.425,1157.1,0,54.63312556582232,23.50349650349669,Severe Crime Concentration,Violence-Dominant,Fluctuating,Seasonally Volatile,Volatile Risk Area,"Bristol, City of",0.35,IoD2019,5,2,3,Moderate
E06000047,County Durham,12,5047.0,60564,0.41447075501798625,0.24238008695671823,295.7548124560429,9.673424792979853,2.0500000000000003,17.658333333333335,65.61666666666666,787.4,1,23.520236290299362,11.000000000000066,Severe Crime Concentration,Violence-Dominant,Deteriorating,Mild Conditions,Emerging Risk Area,County Durham,0.22,IoD2019,9,4,5,Weak
E06000052,Cornwall,12,3054.0833333333335,36649,0.4885211727408664,0.17878872802342746,303.83561893453725,12.530070139661353,6.308333333333334,17.966666666666665,102.77499999999999,1233.3,0,42.74187057207489,0.2902097902097747,Moderate Crime Level,Violence-Dominant,Fluctuating,Rain-Exposed,Weather-Sensitive Area,Cornwall,0.08,IoD2019,12,10,2,Strong
E06000054,Wiltshire,12,2607.75,31293,0.4342739826100738,0.22190481274082455,176.97720705837182,10.80268415523421,2.1250000000000004,20.241666666666667,87.625,1051.5,1,45.41187519901496,14.444055944056023,Moderate Crime Level,Violence-Dominant,Deteriorating,Seasonally Volatile,Mixed-Risk Area,Wiltshire,0.05,IoD2019,14,11,3,Moderate
E06000065,North Yorkshire,12,3552.3333333333335,42628,0.4268036525536787,0.21781335473581923,291.82508252012684,10.588370102583117,2.2666666666666666,18.916666666666668,65.54166666666667,786.5,1,17.143801335830513,1.5034965034965388,Moderate Crime Level,Violence-Dominant,Deteriorating,Mild Conditions,Mixed-Risk Area,North Yorkshire,0.06,IoD2019,13,8,5,Weak
E07000041,Exeter,12,1272.1666666666667,15266,0.43674790756300547,0.25768017752236555,126.30902460620025,11.7884671239649,0.8333333333333334,20.441666666666666,90.34166666666668,1084.1000000000001,0,38.148619856682856,3.2517482517483,Very Low Recorded Crime,Violence-Dominant,Deteriorating,Rain-Exposed,Weather-Sensitive Area,Exeter,0.15,IoD2019,11,14,3,Moderate
E07000148,Norwich,12,1533.25,18399,0.457867634895924,0.24215686143925544,74.87216377994498,11.625517241379312,2.1666666666666665,21.0,56.63333333333333,679.6,0,19.605116833638252,3.087412587412623,Very Low Recorded Crime,Violence-Dominant,Deteriorating,Mild Conditions,Mixed-Risk Area,Norwich,0.2,IoD2019,10,13,3,Moderate
E08000019,Sheffield,12,5622.416666666667,67469,0.40495455270869574,0.30678890667607,286.04464315695174,10.93187955753306,-0.20833333333333323,20.866666666666667,75.76666666666667,909.2,1,36.25656889280601,-0.9755244755243888,Severe Crime Concentration,Violence-Dominant,Improving,Mild Conditions,Crime-Sensitive Area,Sheffield,0.42,IoD2019,2,3,1,Strong
E08000021,Newcastle upon Tyne,12,3882.8333333333335,46594,0.3873598852111609,0.2769439616121006,225.68112392703497,9.673424792979853,2.0500000000000003,17.658333333333335,76.68333333333332,920.1999999999999,1,28.94228844797972,1.0839160839161301,Elevated Crime Level,Violence-Dominant,Deteriorating,Mild Conditions,Emerging Risk Area,Newcastle upon Tyne,0.4,IoD2019,3,6,3,Moderate
